fecha,temperatura,humedad,precipitacion,mes
2023-03-25,34.8,58.8,0,3
2023-03-26,20.6,76.0,0,3
2023-03-27,33.5,63.7,1,3
2023-03-28,30.3,66.2,0,3
2023-03-29,30.6,27.5,5,3
2023-03-30,21.2,76.8,0,3
2023-03-31,32.4,31.2,2,3
2023-04-01,29.2,61.1,0,4
2023-04-02,23.5,42.5,0,4
2023-04-03,30.0,42.9,5,4
2023-04-04,34.4,30.2,1,4
2023-04-05,25.3,37.6,0,4
2023-04-06,20.4,58.8,0,4
2023-04-07,21.2,42.6,2,4
2023-04-08,21.5,79.0,0,4
2023-04-09,21.6,54.3,10,4
2023-04-10,23.0,69.3,0,4
2023-04-11,22.0,60.6,1,4
2023-04-12,21.6,36.5,2,4
2023-04-13,23.5,50.6,0,4
2023-04-14,27.4,75.6,0,4
2023-04-15,29.7,76.6,0,4
2023-04-16,34.6,55.8,10,4
2023-04-17,27.6,59.2,0,4
2023-04-18,26.6,50.4,1,4
2023-04-19,23.1,57.4,5,4
2023-04-20,27.8,54.4,1,4
2023-04-21,31.2,44.5,10,4
2023-04-22,34.1,39.0,0,4
2023-04-23,25.7,76.8,2,4
2023-04-24,31.0,27.6,0,4
2023-04-25,24.0,79.1,5,4
2023-04-26,30.3,46.2,5,4
2023-04-27,30.6,75.7,10,4
2023-04-28,22.5,55.1,10,4
2023-04-29,20.5,48.2,0,4
2023-04-30,34.1,56.5,0,4
2023-05-01,25.2,39.1,2,5
2023-05-02,22.5,50.6,0,5
2023-05-03,31.8,61.6,5,5
2023-05-04,31.9,41.8,0,5
2023-05-05,29.9,26.1,0,5
2023-05-06,31.7,55.2,0,5
2023-05-07,31.4,52.4,2,5
2023-05-08,21.9,73.1,10,5
2023-05-09,28.3,75.9,2,5
2023-05-10,26.5,70.6,0,5
2023-05-11,24.5,28.7,5,5
2023-05-12,33.7,66.2,10,5
2023-05-13,32.5,74.9,0,5
2023-05-14,28.0,57.0,0,5
2023-05-15,26.2,40.8,0,5
2023-05-16,32.0,34.3,1,5
2023-05-17,25.6,76.1,1,5
2023-05-18,29.1,34.2,1,5
2023-05-19,33.0,74.1,0,5
2023-05-20,25.5,28.4,0,5
2023-05-21,29.8,29.1,0,5
2023-05-22,23.9,25.2,10,5
2023-05-23,23.0,49.5,0,5
2023-05-24,26.8,42.5,0,5
2023-05-25,32.5,73.2,0,5
2023-05-26,33.6,76.7,2,5
2023-05-27,27.7,41.0,0,5
2023-05-28,27.5,29.6,0,5
2023-05-29,28.6,32.8,5,5
2023-05-30,21.0,28.3,5,5
2023-05-31,32.2,36.5,5,5
2023-06-01,37.3,52.6,0,6
2023-06-02,28.1,34.4,10,6
2023-06-03,36.6,52.7,5,6
2023-06-04,29.0,32.7,0,6
2023-06-05,33.9,25.0,2,6
2023-06-06,25.6,34.4,1,6
2023-06-07,35.2,54.4,10,6
2023-06-08,37.9,79.8,0,6
2023-06-09,35.1,79.5,5,6
2023-06-10,35.3,44.7,1,6
2023-06-11,32.0,37.8,10,6
2023-06-12,31.2,78.9,2,6
2023-06-13,39.5,49.1,5,6
2023-06-14,39.4,27.4,0,6
2023-06-15,32.3,78.9,2,6
2023-06-16,29.2,71.8,10,6
2023-06-17,25.1,47.1,2,6
2023-06-18,39.5,63.4,10,6
2023-06-19,30.5,78.8,5,6
2023-06-20,29.5,44.5,10,6
2023-06-21,27.8,58.7,5,6
2023-06-22,25.1,25.9,10,6
2023-06-23,30.9,77.1,5,6
2023-06-24,37.2,48.9,0,6
2023-06-25,36.2,53.6,0,6
2023-06-26,29.1,52.4,0,6
2023-06-27,30.7,72.5,1,6
2023-06-28,32.7,39.2,1,6
2023-06-29,26.3,74.5,0,6
2023-06-30,25.1,60.8,2,6
2023-07-01,36.4,46.2,0,7
2023-07-02,39.1,79.6,2,7
2023-07-03,37.5,46.9,1,7
2023-07-04,26.8,60.1,10,7
2023-07-05,28.7,59.4,5,7
2023-07-06,29.7,77.2,0,7
2023-07-07,31.8,49.9,0,7
2023-07-08,26.2,43.0,10,7
2023-07-09,31.3,53.2,2,7
2023-07-10,39.6,48.2,0,7
2023-07-11,32.7,69.4,0,7
2023-07-12,32.8,64.9,2,7
2023-07-13,28.4,28.6,10,7
2023-07-14,29.0,37.0,1,7
2023-07-15,37.1,61.5,0,7
2023-07-16,25.3,46.0,5,7
2023-07-17,32.3,65.8,5,7
2023-07-18,28.6,41.9,0,7
2023-07-19,34.6,28.3,1,7
2023-07-20,33.7,38.5,0,7
2023-07-21,38.4,68.1,10,7
2023-07-22,28.0,70.0,0,7
2023-07-23,33.9,52.7,0,7
2023-07-24,27.6,77.2,2,7
2023-07-25,35.3,63.4,2,7
2023-07-26,33.1,55.3,1,7
2023-07-27,34.8,51.5,0,7
2023-07-28,35.3,51.6,2,7
2023-07-29,33.8,70.1,10,7
2023-07-30,28.6,43.1,1,7
2023-07-31,38.8,72.8,1,7
2023-08-01,36.9,30.9,1,8
2023-08-02,29.5,55.0,2,8
2023-08-03,36.0,54.1,2,8
2023-08-04,27.5,75.4,0,8
2023-08-05,27.1,78.8,1,8
2023-08-06,33.6,33.5,1,8
2023-08-07,39.8,33.8,0,8
2023-08-08,29.4,26.4,0,8
2023-08-09,29.6,30.5,1,8
2023-08-10,36.8,68.6,0,8
2023-08-11,37.4,57.6,0,8
2023-08-12,29.8,30.7,1,8
2023-08-13,30.8,40.4,10,8
2023-08-14,33.0,49.5,10,8
2023-08-15,26.5,37.4,0,8
2023-08-16,35.1,61.6,0,8
2023-08-17,25.9,27.2,2,8
2023-08-18,25.4,72.9,0,8
2023-08-19,33.2,33.3,10,8
2023-08-20,37.0,44.3,2,8
2023-08-21,27.7,27.6,0,8
2023-08-22,28.5,66.5,1,8
2023-08-23,38.6,28.0,5,8
2023-08-24,29.9,53.5,0,8
2023-08-25,30.6,38.1,0,8
2023-08-26,32.4,79.0,0,8
2023-08-27,27.9,46.3,0,8
2023-08-28,26.4,71.3,0,8
2023-08-29,26.1,38.3,10,8
2023-08-30,27.7,49.7,2,8
2023-08-31,30.3,58.3,0,8
2023-09-01,29.3,69.9,0,9
2023-09-02,28.4,25.9,0,9
2023-09-03,24.7,60.2,5,9
2023-09-04,23.6,50.9,0,9
2023-09-05,27.7,40.8,0,9
2023-09-06,27.1,32.0,0,9
2023-09-07,19.0,37.1,1,9
2023-09-08,24.7,33.2,5,9
2023-09-09,26.9,31.1,0,9
2023-09-10,23.4,69.4,10,9
2023-09-11,25.6,40.6,1,9
2023-09-12,29.7,34.0,1,9
2023-09-13,20.2,47.8,0,9
2023-09-14,22.1,79.0,2,9
2023-09-15,31.6,49.6,1,9
2023-09-16,22.4,50.7,5,9
2023-09-17,30.1,75.1,5,9
2023-09-18,18.1,37.7,0,9
2023-09-19,29.7,53.4,0,9
2023-09-20,30.9,56.5,0,9
2023-09-21,30.2,79.1,0,9
2023-09-22,26.6,25.5,10,9
2023-09-23,19.9,30.7,5,9
2023-09-24,27.8,50.4,5,9
2023-09-25,31.7,76.0,2,9
2023-09-26,21.5,59.9,0,9
2023-09-27,28.7,67.1,5,9
2023-09-28,28.7,79.8,1,9
2023-09-29,25.5,30.8,2,9
2023-09-30,29.0,77.9,10,9
2023-10-01,20.8,41.7,1,10
2023-10-02,27.7,55.5,5,10
2023-10-03,25.5,29.8,1,10
2023-10-04,26.7,42.1,10,10
2023-10-05,28.1,44.6,0,10
2023-10-06,32.0,50.2,0,10
2023-10-07,29.6,76.1,1,10
2023-10-08,18.9,35.0,10,10
2023-10-09,30.9,37.1,0,10
2023-10-10,21.5,75.4,0,10
2023-10-11,30.4,28.9,5,10
2023-10-12,22.0,75.4,0,10
2023-10-13,28.6,60.1,1,10
2023-10-14,24.0,59.5,5,10
2023-10-15,31.3,79.5,2,10
2023-10-16,29.8,59.0,0,10
2023-10-17,31.6,64.2,5,10
2023-10-18,29.9,75.5,2,10
2023-10-19,18.3,62.2,0,10
2023-10-20,25.4,54.7,10,10
2023-10-21,27.5,66.0,0,10
2023-10-22,29.0,54.1,0,10
2023-10-23,24.7,30.5,5,10
2023-10-24,18.5,56.8,10,10
2023-10-25,21.6,67.9,0,10
2023-10-26,28.0,56.1,10,10
2023-10-27,23.1,74.8,0,10
2023-10-28,18.4,79.8,0,10
2023-10-29,29.6,64.3,0,10
2023-10-30,26.9,70.5,1,10
2023-10-31,21.2,61.4,10,10
2023-11-01,29.0,68.4,0,11
2023-11-02,23.9,39.2,0,11
2023-11-03,22.4,67.8,1,11
2023-11-04,25.2,28.6,2,11
2023-11-05,31.2,30.1,0,11
2023-11-06,20.7,55.1,0,11
2023-11-07,30.1,37.0,1,11
2023-11-08,27.0,61.4,0,11
2023-11-09,26.5,35.9,1,11
2023-11-10,25.0,65.4,0,11
2023-11-11,21.9,65.2,10,11
2023-11-12,26.8,40.2,10,11
2023-11-13,25.0,49.3,1,11
2023-11-14,25.2,28.2,0,11
2023-11-15,21.3,72.8,2,11
2023-11-16,24.6,69.6,2,11
2023-11-17,19.4,70.1,10,11
2023-11-18,27.9,31.1,10,11
2023-11-19,27.7,78.0,10,11
2023-11-20,26.3,41.1,5,11
2023-11-21,25.3,52.5,1,11
2023-11-22,24.2,58.9,5,11
2023-11-23,29.6,66.8,0,11
2023-11-24,25.0,73.0,2,11
2023-11-25,29.0,45.1,1,11
2023-11-26,19.8,59.0,1,11
2023-11-27,30.3,76.3,1,11
2023-11-28,23.4,63.9,0,11
2023-11-29,30.5,32.7,1,11
2023-11-30,28.2,58.8,0,11
2023-12-01,27.9,45.1,10,12
2023-12-02,25.5,48.3,2,12
2023-12-03,15.2,52.7,10,12
2023-12-04,22.6,60.7,10,12
2023-12-05,17.7,48.6,10,12
2023-12-06,19.9,68.4,10,12
2023-12-07,24.5,55.1,0,12
2023-12-08,19.4,38.2,10,12
2023-12-09,26.0,64.4,10,12
2023-12-10,15.9,28.2,2,12
2023-12-11,21.2,66.6,0,12
2023-12-12,27.7,66.0,2,12
2023-12-13,17.4,35.0,0,12
2023-12-14,18.0,41.5,10,12
2023-12-15,24.9,70.3,5,12
2023-12-16,24.0,36.3,0,12
2023-12-17,26.9,77.8,0,12
2023-12-18,22.0,32.9,5,12
2023-12-19,20.0,29.3,0,12
2023-12-20,22.9,38.3,0,12
2023-12-21,22.1,70.3,0,12
2023-12-22,26.1,43.2,10,12
2023-12-23,21.1,33.4,2,12
2023-12-24,22.3,56.9,5,12
2023-12-25,17.3,55.4,10,12
2023-12-26,18.9,66.6,0,12
2023-12-27,27.2,47.0,0,12
2023-12-28,20.2,69.3,0,12
2023-12-29,24.3,49.9,5,12
2023-12-30,21.3,77.8,0,12
2023-12-31,21.9,29.9,0,12
